OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
8817,42,101,003901,4007,421010039014007,Block 4007,G5040, , ,S,6481,0,+39.9256392,-075.1746728,368.95401877,69821.3395996094,1211.29616443426
8818,42,101,003901,3010,421010039013010,Block 3010,G5040, , ,S,5913,0,+39.9217809,-075.1744134,364.92167598,63641.2142333984,1197.68019156057
8819,42,101,003800,4007,421010038004007,Block 4007,G5040, , ,S,9847,0,+39.9214446,-075.1816862,420.26162018,106016.819946289,1378.94973764841
8820,42,101,003800,2015,421010038002015,Block 2015,G5040, , ,S,19613,0,+39.9184396,-075.1783619,559.72038213,211199.636962891,1837.55708605588
8821,42,101,003901,3008,421010039013008,Block 3008,G5040, , ,S,6783,0,+39.9219201,-075.1754717,377.56689695,72987.7704467773,1239.1715286225
8822,42,101,003800,1003,421010038001003,Block 1003,G5040, , ,S,6781,0,+39.9212080,-075.1799033,376.72620308,73127.2008666992,1236.55047008405
8823,42,101,003902,1004,421010039021004,Block 1004,G5040, , ,S,5936,0,+39.9203334,-075.1731099,364.72822034,63823.3526000977,1196.86379777748
8824,42,101,003600,3019,421010036003019,Block 3019,G5040, , ,S,6791,0,+39.9235908,-075.1900498,410.69536869,71808.0257568359,1331.5524345238
8825,42,101,003800,2013,421010038002013,Block 2013,G5040, , ,S,2047,0,+39.9179421,-075.1801025,304.20682347,22070.8531494141,998.417874661215
8826,42,101,003100,6005,421010031006005,Block 6005,G5040, , ,S,10612,0,+39.9340169,-075.1805286,445.04234233,114365.423278809,1461.49482051246
8827,42,101,003100,6003,421010031006003,Block 6003,G5040, , ,S,618,0,+39.9345453,-075.1793827,126.80291353,6639.96728515625,415.923818657913
8828,42,101,003100,4003,421010031004003,Block 4003,G5040, , ,S,6601,0,+39.9306276,-075.1809340,371.5852288,70957.1560058594,1219.09348443274
8829,42,101,003100,4004,421010031004004,Block 4004,G5040, , ,S,8056,0,+39.9303993,-075.1791760,428.91744124,86744.5431518555,1408.2554641832
8830,42,101,003701,4005,421010037014005,Block 4005,G5040, , ,S,6689,0,+39.9281373,-075.1842875,372.29469269,71987.2033081055,1221.71867898101
8831,42,101,003701,5004,421010037015004,Block 5004,G5040, , ,S,5585,0,+39.9290056,-075.1812896,355.21107268,60175.4454956055,1166.18326963106
