TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101021200,"(40.03483899140, -75.2125337247)",40.03483899140, -75.2125337247,89,49,65
42101021300,"(40.03223391710, -75.2181175526)",40.03223391710, -75.2181175526,93,52,57
42101021400,"(40.02834210940, -75.2240820912)",40.02834210940, -75.2240820912,94,50,55
42101021500,"(40.03500546510, -75.2285063931)",40.03500546510, -75.2285063931,76,48,29
42101021600,"(40.04097572980, -75.2387551089)",40.04097572980, -75.2387551089,51,37,20
42101021700,"(40.04502776710, -75.2239453991)",40.04502776710, -75.2239453991,66,42,51
42101021800,"(40.05747611350, -75.2324351749)",40.05747611350, -75.2324351749,68,39,63
42101021900,"(40.05098576330, -75.2436971612)",40.05098576330, -75.2436971612,42,35,14
42101022000,"(40.05915537090, -75.2502323986)",40.05915537090, -75.2502323986,6,33,6
42101023100,"(40.06637006700, -75.2029762896)",40.06637006700, -75.2029762896,72,48,44
42101023500,"(40.03944362120, -75.2007931290)",40.03944362120, -75.2007931290,34,48,43
42101023600,"(40.04271464960, -75.1946940669)",40.04271464960, -75.1946940669,59,47,59
42101023700,"(40.04873951980, -75.1886069666)",40.04873951980, -75.1886069666,83,53,49
42101023800,"(40.03893708360, -75.1827037814)",40.03893708360, -75.1827037814,80,61,51
42101023900,"(40.03398602440, -75.1873478807)",40.03398602440, -75.1873478807,59,59,56
42101024000,"(40.02808074480, -75.1794623661)",40.02808074480, -75.1794623661,79,62,68
42101024100,"(40.03327341590, -75.1759174745)",40.03327341590, -75.1759174745,95,64,70
42101024200,"(40.02851098970, -75.1697085581)",40.02851098970, -75.1697085581,86,62,61
42101024300,"(40.02158547320, -75.1710376399)",40.02158547320, -75.1710376399,67,63,53
42101024400,"(40.02482846320, -75.1638924794)",40.02482846320, -75.1638924794,78,69,55
42101024500,"(40.03332874440, -75.1620462378)",40.03332874440, -75.1620462378,76,65,51
42101024600,"(40.03854871550, -75.1719926217)",40.03854871550, -75.1719926217,88,64,59
42101024700,"(40.04170350810, -75.1645309757)",40.04170350810, -75.1645309757,75,63,58
42101024800,"(40.04684423870, -75.1668817517)",40.04684423870, -75.1668817517,76,60,50
42101024900,"(40.05110091790, -75.1601166521)",40.05110091790, -75.1601166521,77,58,51
42101025200,"(40.04683530540, -75.1771588031)",40.04683530540, -75.1771588031,74,60,48
42101025300,"(40.05421983700, -75.1822200427)",40.05421983700, -75.1822200427,80,55,49
42101025400,"(40.06042025400, -75.1760717373)",40.06042025400, -75.1760717373,61,54,42
42101025500,"(40.06257964290, -75.1840638129)",40.06257964290, -75.1840638129,82,55,58
42101025600,"(40.06707749680, -75.1894058257)",40.06707749680, -75.1894058257,75,53,61
42101025700,"(40.07245861120, -75.1962707622)",40.07245861120, -75.1962707622,81,51,50
42101025800,"(40.07398013900, -75.1823113018)",40.07398013900, -75.1823113018,47,50,50
